0,"['[풀영상] 신동욱 ""처형 박근혜 대통령",['OhmynewsTV',-['OhmynewsTV'
1," 지난 10년간 밥 한 끼 산 적 없다""(오마이TV)'", 'OhmynewsTV',['OhmynewsTV'- 'OhmynewsTV'
2," '[풀영상] 신동욱 ""처형 박근혜 대통령", 'CBS크리스천노컷뉴스', 'OhmynewsTV'- 'CBS크리스천노컷뉴스'
3," 지난 10년간 밥 한 끼 산 적 없다""(오마이TV)'", '신의한수', 'CBS크리스천노컷뉴스'- '신의한수'
4, '조용기 목사 가족퇴진 서명운동, '조선일보', '신의한수'- '조선일보'
5, 왜?', '신의한수', '조선일보'- '신의한수'
6, '이재용 대선 출마? / 신의한수', '이봉규TV', '신의한수'- '이봉규TV'
7, '[김광일의 입] 황교안, '신의한수', '이봉규TV'- '신의한수'
8, “죽어야 산다”', 'Why Times', '신의한수'- 'Why Times'
9, '김세연 뒤에는 문재인 있다! (양영태 박사) / 신의한수', '채널A 뉴스', 'Why Times'- '채널A 뉴스'
10," ""부인 사주에 '물' 있으면 천운까지 [류동학 인문명리학자]""", '이런 경향', '채널A 뉴스'- '이런 경향'
11, '김세연 뒤에는 문재인 있다! (양영태 박사) / 신의한수', '한겨레 영상뉴스', '이런 경향'- '한겨레 영상뉴스'
12, '[Why Times 논평 281] 김정은이 문재인을 함부로 대하는 3가지 이유', '팩트TV NEWS', '한겨레 영상뉴스'- '팩트TV NEWS'
13, '이만섭이 본 박정희 前 대통령과 가족의 모습은?_채널A_쾌도난마 722회', '채널A 뉴스', '팩트TV NEWS'- '채널A 뉴스'
14, '[경향신문] 이장우 “김무성·유승민, '시사TVCHOSUN', '채널A 뉴스'- '시사TVCHOSUN'
15, 인간 이하의 처신…탄핵을 사리사욕 위해 맞바꿔”', '시사TVCHOSUN', '시사TVCHOSUN'- '시사TVCHOSUN'
16," '박지원 여상규 설전 ""당신이 판사야?"" ""당신이라니!""'", 'YTN NEWS', '시사TVCHOSUN'- 'YTN NEWS'
17, '장제원, 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
18," ""박원순·조희연의 사회주의적 이념 주입 교과서 섬뜩하다""'", 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
19, '김진태, '스브스뉴스 SUBUSU NEWS', 'YTN NEWS'- '스브스뉴스 SUBUSU NEWS'
20," 정청래 의원에게 ""네 조국 가라"" 내막은?_채널A_쾌도난마 587회'", '신의한수', '스브스뉴스 SUBUSU NEWS'- '신의한수'
21, '\'500억 기부\' 신영균, 'YTN NEWS', '신의한수'- 'YTN NEWS'
22," 윤정희 투병 소식에 ""아까운 사람""[TV CHOSUN 신통방통]'", '채널A 뉴스TOP10', 'YTN NEWS'- '채널A 뉴스TOP10'
23, '\'500억 기부\' 신영균, '메가튜브'], '채널A 뉴스TOP10'- '메가튜브']
24," 윤정희 투병 소식에 ""아까운 사람""[TV CHOSUN 신통방통]'",,
25," ""'장윤정의 2대 거짓말'…母",,
26," 또 언론사에 메일 발송 / YTN""",,
27," ""'장윤정의 2대 거짓말'…母",,
28," 또 언론사에 메일 발송 / YTN""",,
29, '흔드는 천정배,,
30, 버티는 문재인...위기의 야권 / YTN',,
31, '아버지 직업을 부끄러워했던 임희정 아나운서 / 스브스뉴스',,
32, '(다반뉴스) 박지원,,
33, 조국 부부 구속 예측!!! / 신의한수 19.11.15',,
34," ""문재인",,
35," 곳곳에서 사퇴 압박...정청래 '출석 정지' 조치 / YTN""",,
36, '우리가 알던 홍합은 가짜? ‘두 번 배신한 홍합’_채널A_뉴스TOP10',,
37, '일본,,
38,"한국 군사력 순위 깜짝! 19년도 세계 군사력 순위발표! ""전쟁하면 한국이..""']",,
