0,['드루킹이 전하는 노회찬 죽음의 진실 (feat. 문재인)',['가로세로연구소',-['가로세로연구소'
1, '檢, '채널A 뉴스',['가로세로연구소'- '채널A 뉴스'
2, 서초경찰서 전격 압수수색…휴대전화·유서 확보 | 뉴스A', '채널A 뉴스', '채널A 뉴스'- '채널A 뉴스'
3, '檢, 'sun H', '채널A 뉴스'- 'sun H'
4, 서초경찰서 전격 압수수색…휴대전화·유서 확보 | 뉴스A', 'News Daily Korea Showbiz', 'sun H'- 'News Daily Korea Showbiz'
5, '문희 결혼식', '메이트타운', 'News Daily Korea Showbiz'- '메이트타운'
6, '故 박일 성우, 'News Daily Korea Showbiz', '메이트타운'- 'News Daily Korea Showbiz'
7, 배우 김윤경과 이혼 후 홀로 4남매 키운 사실 알려져', 'MS TV', 'News Daily Korea Showbiz'- 'MS TV'
8, '조민기, 'EBSDocumentary (EBS 다큐)', 'MS TV'- 'EBSDocumentary (EBS 다큐)'
9, 애도받지 못한 죽음… 빈소를 찾지 않는 동료 연예인들을 향한 한 배우의 글', 'OhmynewsTV', 'EBSDocumentary (EBS 다큐)'- 'OhmynewsTV'
10, '故 박일 성우, 'EBSDocumentary (EBS 다큐)', 'OhmynewsTV'- 'EBSDocumentary (EBS 다큐)'
11, 배우 김윤경과 이혼 후 홀로 4남매 키운 사실 알려져', 'EBSDocumentary (EBS 다큐)', 'EBSDocumentary (EBS 다큐)'- 'EBSDocumentary (EBS 다큐)'
12, '선풍기아줌마 15일 별세 선풍기 아주머니', 'LEE Logan', 'EBSDocumentary (EBS 다큐)'- 'LEE Logan'
13, '[EBS 세계테마기행] 행복한열대 캄보디아 1~4부', 'idforwook', 'LEE Logan'- 'idforwook'
14," '[풀영상] 신동욱 ""처형 박근혜 대통령", 'freeara', 'idforwook'- 'freeara'
15," 지난 10년간 밥 한 끼 산 적 없다""(오마이TV)'", 'Algol', 'freeara'- 'Algol'
16, '다큐프라임 - 극한의 땅 2부 시베리아 오이먀콘의 겨울', '12tune', 'Algol'- '12tune'
17, '[세계테마기행] 역사의 땅 이스라엘 1~4부', 'Algol', '12tune'- 'Algol'
18, '[우주다큐]NHK 우주대기행 E07 블랙홀, 'Rogan Amie', 'Algol'- 'Rogan Amie'
19, 은하를 뒤흔드는 수수께끼 천체', '서원영', 'Rogan Amie'- '서원영'
20, '태양계 그리고 우리 은하', '2SUNOYA', '서원영'- '2SUNOYA'
21, '고래자리 A 은하 [Messier 77]', 'coolsan', '2SUNOYA'- 'coolsan'
22, '태양계 행성 크기 비교 Got Balls (한국어)', 'HBBIT', 'coolsan'- 'HBBIT'
23, 'got balls - planet size comparison, 'EBSDocumentary (EBS 다큐)', 'HBBIT'- 'EBSDocumentary (EBS 다큐)'
24, 12tune', 'YTN NEWS', 'EBSDocumentary (EBS 다큐)'- 'YTN NEWS'
25, '태양계 행성 크기 비교 Got Balls (한국어)', 'YTN DMB', 'YTN NEWS'- 'YTN DMB'
26, '[소리주의] 우주왕복선 발사부터 착륙까지 전과정', '오늘의 선물', 'YTN DMB'- '오늘의 선물'
27, 'Soft-landing 인천국제공항 Incheon International Airport / 부드럽게착륙하는 아시아나항공여객기', '플레이앤드', '오늘의 선물'- '플레이앤드'
28, '대한항공 A380 인천공항 폭우속 착륙 Korean air A380 reverse thrust in rain @ ICN 2012-08-12-124807', 'EBSDocumentary (EBS 다큐)', '플레이앤드'- 'EBSDocumentary (EBS 다큐)'
