0,['(다반뉴스) 윤석열,['신의한수',-['신의한수'
1, 문재인에 핵전쟁 선포!!! 황교안, 'YTN NEWS',['신의한수'- 'YTN NEWS'
2, 김세연 추방 시켰다!!! / 신의한수 19.12.02', 'JTBC News', 'YTN NEWS'- 'JTBC News'
3," ""'죽음의 백조' B-1B 출격...단독비행 배경? / YTN""", 'JTBC News', 'JTBC News'- 'JTBC News'
4," '밤샘토론 114회 - ""나랏돈 풀어 경제살리기", 'SBSCNBC뉴스', 'JTBC News'- 'SBSCNBC뉴스'
5," 문제는 없나?"" (2019.05.31)'", 'EBSDocumentary (EBS 다큐)', 'SBSCNBC뉴스'- 'EBSDocumentary (EBS 다큐)'
6, '밤샘토론 21회 - 전작권 환수 연기, 'YTN NEWS', 'EBSDocumentary (EBS 다큐)'- 'YTN NEWS'
7, 주권 포기 vs 불가피한 선택', 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
8, '[직설 라이브] 일본 추가 보복 가능성과 文 5당 대표 회동 결과 분석', 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
9, '[EBS 세계테마기행] 행복한열대 캄보디아 1~4부', 'JTBC News', 'YTN NEWS'- 'JTBC News'
10, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', 'JTBC News'- 'YTN NEWS'
11," '트럼프 ""군사옵션"" 응수...북미 긴장 최고조 / YTN'", 'OhmynewsTV', 'YTN NEWS'- 'OhmynewsTV'
12, '北, 'YTN NEWS', 'OhmynewsTV'- 'YTN NEWS'
13, 선전포고 주장, '채널A 뉴스', 'YTN NEWS'- '채널A 뉴스'
14, 무력시위 앞당기나? / YTN', '채널A 뉴스', '채널A 뉴스'- '채널A 뉴스'
15," '밤샘토론 120회 - ""요동치는 남·북·미 관계", 'JTBC News', '채널A 뉴스'- 'JTBC News'
16," 원인과 해법은?"" (2019.08.23)'", 'JTBC News', 'JTBC News'- 'JTBC News'
17," '김정은 성명 발표...""늙다리 미치광이 불로 다스릴 것"" / YTN'", 'YTN NEWS', 'JTBC News'- 'YTN NEWS'
18," '[풀영상] 신동욱 ""처형 박근혜 대통령", 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
19," 지난 10년간 밥 한 끼 산 적 없다""(오마이TV)'", 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
20," '北 ""김정은 암살 모의한 남한 간첩 2명 체포"" / YTN'", 'SBS 뉴스', 'YTN NEWS'- 'SBS 뉴스'
21, '北 ‘직파 간첩’ 9년 만에 검거…국적세탁 후 스님 행세 | 사건상황실', 'YTN NEWS', 'SBS 뉴스'- 'YTN NEWS'
22, '박종진의 쾌도난마 - 고영환, 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
23, 북한체제 왜 무너지지 않을까?_채널A', '채널A 뉴스', 'YTN NEWS'- '채널A 뉴스'
24," '밤샘토론 117회 - ""출구 안 보이는 한일 갈등", '디지틀조선TV', '채널A 뉴스'- '디지틀조선TV'
25," 해법은 없나?"" (2019.07.12)'", '뉴스TVCHOSUN', '디지틀조선TV'- '뉴스TVCHOSUN'
26, '밤샘토론 27회 - 사드(THAAD) 필요한가 아닌가?', '연합뉴스TV', '뉴스TVCHOSUN'- '연합뉴스TV'
27, '류여해, '연합뉴스TV', '연합뉴스TV'- '연합뉴스TV'
28, 결국 제명... 洪 성희롱 발언으로 맞불 / YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
29, '홍준표는 왜 류여해를 버렸나? / YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
30," ""北 김정은 '7일 전쟁계획'? / YTN""", 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
31," '""백두산 천지가 끓어오른다""..화산 폭발의 조짐 첫 공개 / SBS / 보이스V'", '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
32, '북한군, 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
33, 서부전선서 우리 군에 확성기에 사격 / YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
34," ""핵미사일 탑재 'B-52'...북한에게 '무력시위' / YTN""", 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
35, '김정은 제거작전, '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
36, F22 랩터 뜨면 오산서 7분만에 평양 정밀 타격?', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
37, '문재인 조국 큰일났다! 김은경 전 장관 드디어 입 열다.[진성호 가라사대 ]', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
38," ""조국 수사팀이 유시민 맡는다…직접 수사 두고 '논란'""", 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
39, '[풀영상] 대검찰청 국정감사…윤석열 검찰총장 출석 -2 / 연합뉴스TV (YonhapnewsTV)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
40, '연합뉴스TV 생방송 (LIVE & NEWS)', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
41, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
42, '연합뉴스TV 생방송 (LIVE & NEWS)', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
43, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
44, '연합뉴스TV 생방송 (LIVE & NEWS)', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
45, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
46, '연합뉴스TV 생방송 (LIVE & NEWS)', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
47, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
48, '연합뉴스TV 생방송 (LIVE & NEWS)', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
49, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
50, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', '연합뉴스TV'- '연합뉴스TV'
