0,['잠시 지구를 떠났다가 왔나? 문재인 김연철의 경쟁적 유체이탈 발언',['조갑제TV',-['조갑제TV'
1, '[전광훈목사 강연]서울 경기지역 비상구국기도회', '너알아TV-',['조갑제TV'- '너알아TV-'
2, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', '너알아TV-'- '연합뉴스TV'
3, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
4, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
5, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
6, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
7, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
8, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
9, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
10, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
11, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
12, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
13, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
14, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
15, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
16, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
17, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
18," '박형철 ""첩보 별도로 받아""…백원우 주장과 정면 대치 / SBS / 주영진의 뉴스브리핑'", 'SBS 뉴스', 'YTN NEWS'- 'SBS 뉴스'
19, '檢, '채널A 뉴스', 'SBS 뉴스'- '채널A 뉴스'
20, 서초경찰서 전격 압수수색…휴대전화·유서 확보 | 뉴스A', '채널A 뉴스', '채널A 뉴스'- '채널A 뉴스'
21, '박종진의 쾌도난마 - 고영환, '연합뉴스TV', '채널A 뉴스'- '연합뉴스TV'
22, 북한체제 왜 무너지지 않을까?_채널A', 'YTN DMB', '연합뉴스TV'- 'YTN DMB'
23, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN DMB'- '연합뉴스TV'
24, 'YTN DMB LIVE', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
25, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
26, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
27, '연합뉴스TV 생방송 (LIVE & NEWS)', '한국경제TV', 'YTN NEWS'- '한국경제TV'
28, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', '연합뉴스TV', '한국경제TV'- '연합뉴스TV'
29, '[한국경제TV LIVE] No.1 경제/증권 채널', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
30, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
31, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
32, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
33, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
34, '연합뉴스TV 생방송 (LIVE & NEWS)', '연합뉴스TV', 'YTN NEWS'- '연합뉴스TV'
35, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', '연합뉴스TV'- 'YTN NEWS'
36, '연합뉴스TV 생방송 (LIVE & NEWS)', 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
37, '[YTN LIVE] 대한민국 24시간 뉴스 채널 YTN', 'YTN NEWS', 'YTN NEWS'- 'YTN NEWS'
38," ""당직자 총사퇴 4시간 만에 '친황 체제' 구축 / YTN""", 'OhmynewsTV', 'YTN NEWS'- 'OhmynewsTV'
39," ""檢", '연합뉴스 Yonhapnews', 'OhmynewsTV'- '연합뉴스 Yonhapnews'
40," 숨진 수사관 휴대전화 확보...'하명 의혹' 규명 단서 담겼나? / YTN""", 'tbs 시민의방송', '연합뉴스 Yonhapnews'- 'tbs 시민의방송'
41," '최민희 ""탈탈 털어도 문제없는 조국 수사", 'YTN NEWS', 'tbs 시민의방송'- 'YTN NEWS'
42," 검찰은 당장 멈춰라!""'", 'MBCNEWS', 'YTN NEWS'- 'MBCNEWS'
43," '유시민 ""조국-유재수 일면식 없다…검찰 알고도 연결고리 조사"" / 연합뉴스 (Yonhapnews)'", 'tbs 시민의방송', 'MBCNEWS'- 'tbs 시민의방송'
44, '법원, 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
45, 정경심 공소장 잇단 지적...왜?! (양지열, 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
46,장용진, 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
47,신장식)│김어준의 뉴스공장', 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
48, '법원, 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
49," 정경심 재판 병합 보류...""공소사실 동일성 의문"" / YTN'", 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
50," '15분 만에 끝난 정경심 첫 재판…""사건 기록 보여줘라"" (2019.10.18/뉴스데스크/MBC)'", 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
51," ""[뉴스공장 외전 '더 룸'] 92회 LIVE / 12월 2일 (월)""", 'tbs 시민의방송', 'tbs 시민의방송'- 'tbs 시민의방송'
